model,dataset,train_acc,test_acc,coverage,precision,missed,time
nn,recidivism,0.6791464851420344,0.6680628272251309,0.881675392670157,0.7719714872687472,False,1.4672138690948486
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8743455497382199,0.77604789489763,False,1.4450008869171143
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8795811518324608,0.747619038718821,False,1.5160353183746338
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9277486910994764,0.7460496529791236,False,1.461998701095581
nn,recidivism,0.6791464851420344,0.6680628272251309,0.669109947643979,0.3583724513556737,False,1.1510369777679443
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8712041884816754,0.771634606110161,False,1.4895350933074951
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8659685863874346,0.7775090595222605,False,1.383967638015747
nn,recidivism,0.6791464851420344,0.6680628272251309,0.669109947643979,0.3583724513556737,False,1.1429827213287354
nn,recidivism,0.6791464851420344,0.6680628272251309,0.6827225130890052,0.3619631846324665,False,1.1310310363769531
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9277486910994764,0.7404063121850304,False,1.488013505935669
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8869109947643979,0.7721369448389971,False,1.4230356216430664
nn,recidivism,0.6791464851420344,0.6680628272251309,0.93717277486911,0.7374301593583222,False,1.4690020084381104
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9246073298429319,0.7417893460726008,False,1.486966609954834
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8701570680628272,0.7509025180396809,False,1.4429993629455566
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8523560209424084,0.7813267717281723,False,1.3599798679351807
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9424083769633508,0.7422222139753087,False,1.335028886795044
nn,recidivism,0.6791464851420344,0.6680628272251309,0.6596858638743456,0.361904756160242,False,1.1289985179901123
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8617801047120419,0.7788578277174019,False,1.3339998722076416
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7193717277486911,0.3202328919907876,False,1.1040923595428467
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9130890052356021,0.7408256795776872,False,1.5059990882873535
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8345549738219895,0.7841907053426511,False,1.4864351749420166
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9183246073298429,0.7480045524742924,False,1.3838469982147217
nn,recidivism,0.6791464851420344,0.6680628272251309,0.930890052356021,0.7412823313691527,False,1.4179019927978516
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8712041884816754,0.7752403752975917,False,1.5089952945709229
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9350785340314136,0.7368420970118467,False,1.5449981689453125
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9130890052356021,0.7442660465107105,False,1.672037124633789
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8848167539267016,0.7502958491089249,False,1.4579718112945557
nn,recidivism,0.6791464851420344,0.6680628272251309,0.6827225130890052,0.3619631846324665,False,1.1619675159454346
nn,recidivism,0.6791464851420344,0.6680628272251309,0.669109947643979,0.3583724513556737,False,1.167999267578125
